xloc	name	Lambda	VM	EBS	S3	EFS
1	0.25	0.64	1.9	3.84	0	0
2	0.5	0.64	3.8	7.68	0	0
3	1	0.64	7.59	15.36	0	0
4	2	0.64	15.18	30.72	0	0
5	4	0.64	30.37	61.44	0	0
6	8	0.64	60.74	122.88	0	0
7	16	0.64	121.48	245.76	0	0
						
						
xloc	name	Lambda	VM	EBS	S3	EFS
1	0.25	0.64	0	0	8.08	0
2	0.5	0.64	0	0	13.97	0
3	1	0.64	0	0	25.75	0
4	2	0.64	0	0	0	0
5	4	0.64	0	0	96.4	0
6	8	0.64	0	0	190.61	0
7	16	0.64	0	0	379.03	0
						
						
xloc	name	Lambda	VM	EBS	S3	EFS
1	0.25	0	0	0	0	34.74
2	0.5	0	0	0	0	69.48
3	1	0	0	0	0	138.96
4	2	0	0	0	0	0
5	4	0	0	0	0	555.83
6	8	0	0	0	0	1111.65
7	16	0	0	0	0	2223.31
